delta_id	registry_id	entity_name	candidate_class	scope_policy	registrable_domain	raw_url	normalized_key	preclassification_hint	source
M4B1D0001	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	ilai.io	https://ilai.io/alternativa-servisam-analitiki-wildberries	https://ilai.io/alternativa-servisam-analitiki-wildberries	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0002	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	ilai.io	https://ilai.io/analitika-wildberries	https://ilai.io/analitika-wildberries	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0003	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	ilai.io	https://ilai.io/politika	https://ilai.io/politika	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0004	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	ilai.io	https://ilai.io/reklama-wildberries	https://ilai.io/reklama-wildberries	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0005	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	ilai.io	https://ilai.io/requisite	https://ilai.io/requisite	LEGAL_OR_CORPORATE_CANDIDATE	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0006	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	ilai.io	https://ilai.io/seo-wildberries	https://ilai.io/seo-wildberries	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0007	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	ilai.io	https://ilai.io/servisy-analitiki-wildberries	https://ilai.io/servisy-analitiki-wildberries	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0008	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	ilai.io	https://ilai.io/user-agreement	https://ilai.io/user-agreement	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0009	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	ilai.io	https://ilai.io/user-oferta	https://ilai.io/user-oferta	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0010	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	ilai.io	https://seller.ilai.io/	https://seller.ilai.io	AUTH_OR_PRIVATE_CANDIDATE	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0011	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	ilai.io	https://seller.ilai.io/software-info	https://seller.ilai.io/software-info	AUTH_OR_PRIVATE_CANDIDATE	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0012	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard	https://infosell.tech/dashboard	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0013	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/assistant	https://infosell.tech/dashboard/assistant	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0014	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/balance	https://infosell.tech/dashboard/balance	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0015	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/finassistant	https://infosell.tech/dashboard/finassistant	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0016	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/analyze-infographic	https://infosell.tech/dashboard/generate/analyze-infographic	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0017	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/banner	https://infosell.tech/dashboard/generate/banner	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0018	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/card-audit	https://infosell.tech/dashboard/generate/card-audit	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0019	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/card-build	https://infosell.tech/dashboard/generate/card-build	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
