registry_id	entity_name	candidate_class	registrable_domain	scope_policy	accepted_anchor_count	authoritative_anchor_urls	work_unresolved_reason
REG011	Ilai	RECURRING_PRODUCT_VENDOR	ilai.io	THEME_SCOPED_PUBLIC_TAXONOMY	1	https://ilai.io/	same-entity navigation could not be enumerated in browser
REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	infosell.tech	THEME_SCOPED_PUBLIC_TAXONOMY	1	https://infosell.tech/	same-entity navigation could not be enumerated in browser
REG016	Jvo	RECURRING_PRODUCT_VENDOR	jvo.ru	THEME_SCOPED_PUBLIC_TAXONOMY	2	https://jvo.ru/ | https://jvo.ru/agent	same-entity navigation could not be enumerated in browser
REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	kt-team.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1	https://www.kt-team.ru/product-pages/ai-agents-marketplaces	same-entity navigation could not be enumerated in browser
REG019	Legasoft	RECURRING_PRODUCT_VENDOR	legasoft.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2	https://legasoft.ru/about/blog/marketpleysy/avtomatizatsiya-planirovaniya-postavok-s-pomoshchyu-iskusstvennogo-intellekta/ | https://legasoft.ru/about/blog/marketpleysy/kak-vybrat-nishu-v-wildberries-i-ne-oshibitsya-sovety-dlya-uspeshnogo-starta/	same-entity navigation could not be enumerated in browser
REG020	Limescope	RECURRING_PRODUCT_VENDOR	limescope.ru	THEME_SCOPED_PUBLIC_TAXONOMY	1	https://limescope.ru/	same-entity navigation could not be enumerated in browser
REG021	Marketaut	RECURRING_PRODUCT_VENDOR	marketaut.ru	THEME_SCOPED_PUBLIC_TAXONOMY	1	https://marketaut.ru/	same-entity navigation could not be enumerated in browser
REG022	Marpla	RECURRING_PRODUCT_VENDOR	marpla.ru	THEME_SCOPED_PUBLIC_TAXONOMY	4	https://marpla.ru/ | https://marpla.ru/blog/kak-iskat-klyuchevyye-slova-dlya-wildberries/ | https://marpla.ru/blog/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries/ | https://marpla.ru/blog/trebovaniya-k-kartochkam-tovara-wildberries-pravila-zapolneniya/	same-entity navigation could not be enumerated in browser; 1 unresolved URL(s)
REG024	Moysklad	RECURRING_PRODUCT_VENDOR	moysklad.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	4	https://www.moysklad.ru/poleznoe/marketplejsy/analitika-marketpleysov/ | https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/ | https://www.moysklad.ru/poleznoe/marketplejsy/kartochka-tovara-na-wildberries/ | https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-wildberries/	same-entity navigation could not be enumerated in browser; 1 unresolved URL(s)
REG025	Mpboost	RECURRING_PRODUCT_VENDOR	mpboost.pro	THEME_SCOPED_PUBLIC_TAXONOMY	1	https://mpboost.pro/analytics/	same-entity navigation could not be enumerated in browser
REG026	Mpfact	RECURRING_PRODUCT_VENDOR	mpfact.ru	THEME_SCOPED_PUBLIC_TAXONOMY	1	https://mpfact.ru/	same-entity navigation could not be enumerated in browser
REG027	Mpmgr	RECURRING_PRODUCT_VENDOR	mpmgr.ru	THEME_SCOPED_PUBLIC_TAXONOMY	5	http://mpmgr.ru/ | https://mpmgr.ru/blog/cards-seo/chastotnost-zaprosov-wildberries | https://mpmgr.ru/blog/cards-seo/klyuchevye-slova-wildberries | https://mpmgr.ru/blog/external-analytics/analiz-nishi-wildberries | https://mpmgr.ru/blog/trends/mcp-ii-agenty-dlya-sellerov	same-entity navigation could not be enumerated in browser
REG028	Mpstats	RECURRING_PRODUCT_VENDOR	mpstats.io	THEME_SCOPED_PUBLIC_TAXONOMY	11	https://mpstats.io/ | https://mpstats.io/chrome-plugin | https://mpstats.io/instruments/ads-analytics | https://mpstats.io/instruments/analytics | https://mpstats.io/instruments/connect-ai | https://mpstats.io/instruments/wildberries/analytics | https://mpstats.io/media/marketing/chatgpt-marketplejsy | https://mpstats.io/media/marketing/fotografii-dlya-kartochki-tovara-chatgpt | https://mpstats.io/media/wildberries/cards/klyuchevyye-slova | https://mpstats.io/media/wildberries/sellers/chto-prodavat-novichku | https://mpstats.io/media/wildberries/sellers/obzor-lichnogo-kabineta	same-entity navigation could not be enumerated in browser; 1 unresolved URL(s)
REG031	Promopult	RECURRING_PRODUCT_VENDOR	promopult.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2	https://blog.promopult.ru/ecommerce/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries.html | https://blog.promopult.ru/ecommerce/lichnyj-kabinet-postavshhika-na-wildberries.html	same-entity navigation could not be enumerated in browser
REG034	Saintpack	SERVICE_OR_AGENCY	saintpack.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1	https://saintpack.ru/	same-entity navigation could not be enumerated in browser
REG038	Sellermoon	RECURRING_PRODUCT_VENDOR	sellermoon.ru	THEME_SCOPED_PUBLIC_TAXONOMY	9	https://sellermoon.ru/faq/wildberries/analiz-nishi-na-wildberries | https://sellermoon.ru/faq/wildberries/chto-prodavat-na-wb-v-2024-2025-godu | https://sellermoon.ru/faq/wildberries/kak-sozdat-kartochku-tovara-na-wb | https://sellermoon.ru/faq/wildberries/kuda-vpisyvat-klyuchevye-slova-na-wildberries | https://sellermoon.ru/faq/wildberries/nejroset-chatgpt-i-marketplejsy | https://sellermoon.ru/faq/wildberries/obzor-lichnogo-kabineta-wildberries | https://sellermoon.ru/faq/wildberries/podbor-klyuchevyh-slov-dlya-wildberries | https://sellermoon.ru/faq/wildberries/populyarnye-zaprosy-wb | https://sellermoon.ru/faq/wildberries/seo-optimizaciya-kartochek-tovara-na-wildberries	same-entity navigation could not be enumerated in browser; 4 unresolved URL(s)
REG039	Sellerstats	RELEVANT_ONE_OFF_PRODUCT_VENDOR	sellerstats.ru	THEME_SCOPED_PUBLIC_TAXONOMY	1	https://sellerstats.ru/	same-entity navigation could not be enumerated in browser
REG040	Sellmonitor	RECURRING_PRODUCT_VENDOR	sellmonitor.com	THEME_SCOPED_PUBLIC_TAXONOMY	2	https://sellmonitor.com/ | https://sellmonitor.com/blog/seo-kak-sobrat-klyuchevye-slova-i-nastroit-seo-dlya-wildberries/	same-entity navigation could not be enumerated in browser
REG041	Sellper	RECURRING_PRODUCT_VENDOR	sellper.ru	THEME_SCOPED_PUBLIC_TAXONOMY	1	https://sellper.ru/	same-entity navigation could not be enumerated in browser
REG042	Selsup	RECURRING_PRODUCT_VENDOR	selsup.ru	THEME_SCOPED_PUBLIC_TAXONOMY	5	https://selsup.ru/blog/ii-ofis-dlya-sellerov-i-marketplejsov/ | https://selsup.ru/blog/kak-pravilno-sozdat-kartochku-tovara-na-wildberries-v-2024-godu-poshagovaya-instruktsiya/ | https://selsup.ru/blog/kak-stat-prodavtsom-na-wildberries-poshagovaya-instruktsiya-po-registratsii-v-lichnom-kabinete/ | https://selsup.ru/blog/otchyot-o-pribylyah-i-ubytkah-iz-selsup-chto-pokazyvaet-i-zachem-nuzhen-selleram-marketplejsov/ | https://selsup.ru/blog/top-9-nejrosetej-dlya-marketplejsov-i-sellerov-polnyj-obzor/	same-entity navigation could not be enumerated in browser
REG051	Uniseller	RECURRING_PRODUCT_VENDOR	uniseller.io	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2	https://uniseller.io/blog/5-ii-agentov-dlya-sellerov-avtomatizatsiya-rutiny/ | https://uniseller.io/blog/kak-chitat-otchet-o-realizacii-ozon/	same-entity navigation could not be enumerated in browser
REG056	Wildcrm	RECURRING_PRODUCT_VENDOR	wildcrm.ru	THEME_SCOPED_PUBLIC_TAXONOMY	2	https://wildcrm.ru/blog/beginers/tpost/gk5c1skeg1-kak-vibrat-nishu-dlya-prodazh-na-wildber | https://wildcrm.ru/blog/strategy/tpost/knpls4o4g1-poiskovie-zaprosi-wildberries-analitika	same-entity navigation could not be enumerated in browser
REG058	Yoolip	RECURRING_PRODUCT_VENDOR	yoolip.ai	THEME_SCOPED_PUBLIC_TAXONOMY	1	https://yoolip.ai/	same-entity navigation could not be enumerated in browser
