url_id	registry_id	entity_name	candidate_class	anchor_id	is_accepted_anchor	discovered_url	discovery_source_url	discovery_source_page_id	terminal_state_from_work	scope_policy	http_or_tool_observation	notes
M4B1U0027	REG022	Marpla	RECURRING_PRODUCT_VENDOR	PAGE031	true	https://marpla.ru/	M4A_ACCEPTED_ANCHOR	PAGE031	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error and browser navigation failure/no site-status evidence	authority queries R08; ranks R08:15
M4B1U0035	REG024	Moysklad	RECURRING_PRODUCT_VENDOR	PAGE039	true	https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-wildberries/	M4A_ACCEPTED_ANCHOR	PAGE039	DYNAMIC_UNRESOLVED	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Public reader returned title/minimal body; browser fallback did not resolve content	authority queries R10; ranks R10:4
M4B1U0043	REG028	Mpstats	RECURRING_PRODUCT_VENDOR	PAGE047	true	https://mpstats.io/	M4A_ACCEPTED_ANCHOR	PAGE047	ROBOTS_OR_SITE_POLICY_BLOCKED	THEME_SCOPED_PUBLIC_TAXONOMY	Site-served access block observed	authority queries R04R1 | R08; ranks R04R1:19 | R08:6
M4B1U0046	REG028	Mpstats	RECURRING_PRODUCT_VENDOR	PAGE050	true	https://mpstats.io/instruments/analytics	M4A_ACCEPTED_ANCHOR	PAGE050	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error and browser navigation failure/no site-status evidence	authority queries R04R1 | R08; ranks R04R1:9 | R08:5
M4B1U0047	REG028	Mpstats	RECURRING_PRODUCT_VENDOR	PAGE051	true	https://mpstats.io/instruments/connect-ai	M4A_ACCEPTED_ANCHOR	PAGE051	ROBOTS_OR_SITE_POLICY_BLOCKED	THEME_SCOPED_PUBLIC_TAXONOMY	Access to resource was blocked. Reason or support ID: 01a0b2df-32c2-726f-b90c-de2d7337d178. Additional information: 12-01 18/Sep/2026:07:56:06 +0300.	authority queries S01; ranks S01:6
M4B1U0064	REG038	Sellermoon	RECURRING_PRODUCT_VENDOR	PAGE071	true	https://sellermoon.ru/faq/wildberries/kak-sozdat-kartochku-tovara-na-wb	M4A_ACCEPTED_ANCHOR	PAGE071	DYNAMIC_UNRESOLVED	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader returned title/minimal body; browser fallback did not resolve content	authority queries R07; ranks R07:14
M4B1U0066	REG038	Sellermoon	RECURRING_PRODUCT_VENDOR	PAGE073	true	https://sellermoon.ru/faq/wildberries/nejroset-chatgpt-i-marketplejsy	M4A_ACCEPTED_ANCHOR	PAGE073	DYNAMIC_UNRESOLVED	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader returned title/minimal body; browser fallback did not resolve content	authority queries R03; ranks R03:17
M4B1U0067	REG038	Sellermoon	RECURRING_PRODUCT_VENDOR	PAGE074	true	https://sellermoon.ru/faq/wildberries/obzor-lichnogo-kabineta-wildberries	M4A_ACCEPTED_ANCHOR	PAGE074	DYNAMIC_UNRESOLVED	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader returned title/minimal body; browser fallback did not resolve content	authority queries R11; ranks R11:16
M4B1U0069	REG038	Sellermoon	RECURRING_PRODUCT_VENDOR	PAGE076	true	https://sellermoon.ru/faq/wildberries/populyarnye-zaprosy-wb	M4A_ACCEPTED_ANCHOR	PAGE076	DYNAMIC_UNRESOLVED	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader returned title/minimal body; browser fallback did not resolve content	authority queries R09; ranks R09:17
M4B1U0083	REG045	Superintellect	RECURRING_PRODUCT_VENDOR	PAGE094	true	https://superintellect.ru/guides/ozon-ii-agent-dlya-prodavca	M4A_ACCEPTED_ANCHOR	PAGE094	EXECUTION_ENVIRONMENT_FAILURE	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Public reader internal error and browser navigation failure/no site-status evidence	authority queries S02; ranks S02:8
M4B1U0084	REG045	Superintellect	RECURRING_PRODUCT_VENDOR	PAGE095	true	https://superintellect.ru/guides/wildberries-ii-agent-dlya-prodavca	M4A_ACCEPTED_ANCHOR	PAGE095	EXECUTION_ENVIRONMENT_FAILURE	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Public reader internal error and browser navigation failure/no site-status evidence	authority queries S03; ranks S03:6
M4B1U0112	REG001	Ai007	RELEVANT_ONE_OFF_PRODUCT_VENDOR		false	https://www.ai007.io/guides/quickstart.html	https://www.ai007.io/	PAGE001	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0142	REG006	Apimonster	OTHER_RELEVANT_CONTEXT		false	https://apimonster.ru/connector/trigger/wildberries/action/order-get-sticker/	https://apimonster.ru/connector/bundle/openai/wildberries/	PAGE008	EXECUTION_ENVIRONMENT_FAILURE	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0154	REG009	Berkuz	RECURRING_PRODUCT_VENDOR		false	https://berkuz.ru/tarifs/	https://berkuz.ru/	PAGE011	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0156	REG009	Berkuz	RECURRING_PRODUCT_VENDOR		false	https://berkuz.ru/blog/	https://berkuz.ru/	PAGE011	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0157	REG009	Berkuz	RECURRING_PRODUCT_VENDOR		false	https://lk.berkuz.ru/	https://berkuz.ru/	PAGE011	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0185	REG045	Superintellect	RECURRING_PRODUCT_VENDOR		false	https://superintellect.ru/blog/integraciya-ozon-wildberries	https://superintellect.ru/partners/wildberries	PAGE096	EXECUTION_ENVIRONMENT_FAILURE	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0186	REG045	Superintellect	RECURRING_PRODUCT_VENDOR		false	https://superintellect.ru/changelog/ozon-wildberries-integrations	https://superintellect.ru/partners/wildberries	PAGE096	EXECUTION_ENVIRONMENT_FAILURE	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0193	REG046	Tablichki	RECURRING_PRODUCT_VENDOR		false	https://tablichki.tech/unit-economy	https://tablichki.tech/pnl	PAGE100	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0194	REG046	Tablichki	RECURRING_PRODUCT_VENDOR		false	https://tablichki.tech/plan-fact	https://tablichki.tech/pnl	PAGE100	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0195	REG046	Tablichki	RECURRING_PRODUCT_VENDOR		false	https://tablichki.tech/raschet_postavky	https://tablichki.tech/pnl	PAGE100	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0196	REG046	Tablichki	RECURRING_PRODUCT_VENDOR		false	https://tablichki.tech/dds	https://tablichki.tech/pnl	PAGE100	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0204	REG053	Wbcon	RECURRING_PRODUCT_VENDOR		false	https://seo.wbcon.ru/blog/	https://seo.wbcon.ru/gpt-opisanie/	PAGE123	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0256	REG004	Albato	RELEVANT_ONE_OFF_PRODUCT_VENDOR		false	https://albato.ru/integration-ozon-kissmetrics	https://albato.ru/integration-openai-ozon	PAGE004	EXECUTION_ENVIRONMENT_FAILURE	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0293	REG023	Mayak	RECURRING_PRODUCT_VENDOR		false	https://mayak.bz/webinars_mayak	https://mayak.bz/	PAGE035	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0299	REG023	Mayak	RECURRING_PRODUCT_VENDOR		false	https://mayak.bz/koleso?utm_source=koleso&utm_medium=banner_site&utm_campaign=banner	https://mayak.bz/	PAGE035	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0300	REG023	Mayak	RECURRING_PRODUCT_VENDOR		false	https://mayak.bz/seller_help?utm_source=interactive&utm_medium=banner_site&utm_campaign=banner1808	https://mayak.bz/	PAGE035	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0301	REG023	Mayak	RECURRING_PRODUCT_VENDOR		false	https://mayak.bz/webinars?utm_source=web&utm_medium=banner_site&utm_campaign=web2409	https://mayak.bz/	PAGE035	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0302	REG023	Mayak	RECURRING_PRODUCT_VENDOR		false	https://mayak.bz/naitinishu?utm_source=home	https://mayak.bz/	PAGE035	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0303	REG023	Mayak	RECURRING_PRODUCT_VENDOR		false	https://mayak.bz/profit?utm_source=home	https://mayak.bz/	PAGE035	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0314	REG023	Mayak	RECURRING_PRODUCT_VENDOR		false	https://mayak.bz/webinars?utm_source=web&utm_medium=popup&utm_campaign=web2409	https://mayak.bz/	PAGE035	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0315	REG035	Sam X	RELEVANT_ONE_OFF_PRODUCT_VENDOR		false	https://sam-x.ru/wildberries/avtomatizaciya-reklamy	https://sam-x.ru/	PAGE065	EXECUTION_ENVIRONMENT_FAILURE	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0335	REG037	Sellerden	RECURRING_PRODUCT_VENDOR		false	https://sellerden.ru/sellerfox/app/data-uploads	https://sellerden.ru/sellerden/vybor-nishi-na-marketplejsah/analytic-reports/	PAGE067	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0341	REG037	Sellerden	RECURRING_PRODUCT_VENDOR		false	https://sellerden.ru/sellerden/vybor-nishi-na-marketplejsah/analytic-reports/analiz-dinamiki-na-marketpleyse/	https://sellerden.ru/sellerden/vybor-nishi-na-marketplejsah/analytic-reports/	PAGE067	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0347	REG037	Sellerden	RECURRING_PRODUCT_VENDOR		false	https://sellerden.ru/catalog/reklama-na-sajte-sellerfox/	https://sellerden.ru/sellerden/vybor-nishi-na-marketplejsah/analytic-reports/	PAGE067	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
M4B1U0348	REG037	Sellerden	RECURRING_PRODUCT_VENDOR		false	https://sellerden.ru/catalog/analitika-pro/	https://sellerden.ru/sellerden/vybor-nishi-na-marketplejsah/analytic-reports/	PAGE067	EXECUTION_ENVIRONMENT_FAILURE	THEME_SCOPED_PUBLIC_TAXONOMY	Public reader internal error; no site-status evidence	One-hop same-entity link from accepted/public anchor; deterministic policy filter
