registry_id	entity_name	candidate_class	registrable_domain	scope_policy	anchors_accounted	discovered_url_count	inspected_page_count	blocked_url_count	unresolved_url_count	primary_public_positioning	user_jobs	marketplace_scope	data_scope	ai_llm_framing	read_analysis_vs_write_automation_framing	integrations	pricing_availability	proof_trust	cta_pattern	content_architecture_pattern	octoport_overlap	octoport_difference	candidate_gap_count	completion_state	unresolved_reason
REG001	Ai007	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ai007.io	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	23	22	0	1	INVENTORY_SUPPLY | PRICING_REPRICING | REVIEWS_SUPPORT | AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE | SEARCH_TERMS	CHATGPT_OPENAI | AI_AGENT | NOT_OBSERVED	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | CHATGPT_OPENAI | AI_AGENT | YANDEX_MARKET	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | API_OR_PARTNER_CLAIM | CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | CASES_OR_TESTIMONIALS | NOT_OBSERVED | SECURITY_CLAIM | CASES_OR_TESTIMONIALS | SECURITY_CLAIM	DEMO | TRY | BUY_OR_LEAD | CONNECT | TRY | CONNECT | DEMO | TRY | CONNECT | DEMO | CONNECT | NOT_OBSERVED | CONNECT	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	40	RECOVERY_REQUIRED	1 unresolved URL(s)
REG002	Aimarketcap	RELEVANT_ONE_OFF_PRODUCT_VENDOR	aimarketcap.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1/1	3	1	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING	SELLER_ANALYTICS | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | ADS | REVIEWS | COMPETITOR_OR_NICHE	CHATGPT_OPENAI	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | CHATGPT_OPENAI	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS	TRY | REGISTER	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	1	COMPLETE_BOUNDED_FRONTIER	none
REG003	Ainsider	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ainsider.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1/1	1	2	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SEARCH_OR_NICHE_ANALYTICS	WILDBERRIES | OZON | YANDEX_MARKET | GENERIC_MARKETPLACE	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE	AI_AGENT | GENERIC_AI	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | AI_AGENT | GENERIC_MARKETPLACE | GENERIC_AI	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | CASES_OR_TESTIMONIALS	BUY_OR_LEAD | CONNECT | DEMO | BUY_OR_LEAD | CONNECT	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	4	COMPLETE_BOUNDED_FRONTIER	none
REG004	Albato	RELEVANT_ONE_OFF_PRODUCT_VENDOR	albato.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1/1	52	21	0	1	AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | PRICING_REPRICING | SEARCH_OR_NICHE_ANALYTICS | INVENTORY_SUPPLY	AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SELLER_ANALYTICS | REPORTING_FINANCE | REVIEWS_SUPPORT	OZON | WILDBERRIES	ORDERS | STOCKS | ADS | FINANCE | SALES | COMPETITOR_OR_NICHE	CHATGPT_OPENAI | AI_AGENT | CLAUDE	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM | CREATIVE_GENERATION_COMPETITOR_CLAIM	OZON | CHATGPT_OPENAI | AI_AGENT | CLAUDE | WILDBERRIES	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | API_OR_PARTNER_CLAIM | SECURITY_CLAIM	TRY | REGISTER | CONNECT | REGISTER | CONNECT | DEMO | REGISTER | CONNECT	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	22	RECOVERY_REQUIRED	1 unresolved URL(s)
REG006	Apimonster	OTHER_RELEVANT_CONTEXT	apimonster.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	3/3	25	26	0	1	INTEGRATION_CONNECTION | PRICING_REPRICING | REVIEWS_SUPPORT | SELLER_ANALYTICS | AI_OR_DIGITAL_HELPER	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SEARCH_OR_NICHE_ANALYTICS	WILDBERRIES | OZON | GENERIC_MARKETPLACE	ORDERS | SALES | STOCKS | ADS | REVIEWS | COMPETITOR_OR_NICHE	CHATGPT_OPENAI | AI_AGENT | NOT_OBSERVED	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | CHATGPT_OPENAI | AI_AGENT | GENERIC_MARKETPLACE	PUBLIC_PRICE_OR_TRIAL_MENTION | NOT_OBSERVED_IN_CAPTURE	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | CASES_OR_TESTIMONIALS | CASES_OR_TESTIMONIALS | SECURITY_CLAIM	TRY | BUY_OR_LEAD | CONNECT | TRY | REGISTER | BUY_OR_LEAD | CONNECT | TRY | CONNECT | TRY | DEMO | TRY | REGISTER | BUY_OR_LEAD | CONNECT | NOT_OBSERVED	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	33	RECOVERY_REQUIRED	1 unresolved URL(s)
REG007	Ascn	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ascn.ai	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1/1	4	4	0	0	AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | PRICING_REPRICING | REPORTING_FINANCE | SELLER_ANALYTICS	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SEARCH_OR_NICHE_ANALYTICS	WILDBERRIES | OZON | YANDEX_MARKET | GENERIC_MARKETPLACE	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE	CLAUDE | AI_AGENT | CHATGPT_OPENAI	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | CLAUDE | AI_AGENT | GENERIC_MARKETPLACE | CHATGPT_OPENAI	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM	TRY | REGISTER | BUY_OR_LEAD | CONNECT | REGISTER | CONNECT	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	6	COMPLETE_BOUNDED_FRONTIER	none
REG008	Asibiont	SERVICE_OR_AGENCY	asibiont.com	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1/1	2	1	0	0	AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT	SELLER_ANALYTICS | REPORTING_FINANCE | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | COMPETITOR_OR_NICHE	AI_AGENT	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | AI_AGENT	NOT_OBSERVED_IN_CAPTURE	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM	CONNECT	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	2	COMPLETE_BOUNDED_FRONTIER	none
REG009	Berkuz	RECURRING_PRODUCT_VENDOR	berkuz.ru	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	5	1	1	3	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE	GENERIC_AI	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | GENERIC_AI	PUBLIC_PRICE_OR_TRIAL_MENTION	NOT_OBSERVED	DEMO | TRY | BUY_OR_LEAD | CONNECT	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	2	RECOVERY_REQUIRED	3 unresolved URL(s)
REG011	Ilai	RECURRING_PRODUCT_VENDOR	ilai.io	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	0	1	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | ADS | REVIEWS | SEARCH_TERMS | FINANCE | COMPETITOR_OR_NICHE	AI_AGENT	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | AI_AGENT	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM	TRY | REGISTER | CONNECT	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	1	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	infosell.tech	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	0	1	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT	REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON	SALES | ADS | FINANCE | COMPETITOR_OR_NICHE	GENERIC_AI	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | GENERIC_AI	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED	NOT_OBSERVED	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	2	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
