url_id	registry_id	entity_name	candidate_class	anchor_id	is_accepted_anchor	discovered_url	discovery_source_url	discovery_source_page_id	normalized_comparison_url	redirect_chain	final_url	declared_canonical	terminal_state	captured_at	scope_policy	link_text	evidence_capture_method	http_or_tool_observation	residual_recovery_required	notes
M4B1U0001	REG001	Ai007	RELEVANT_ONE_OFF_PRODUCT_VENDOR	PAGE001	true	https://www.ai007.io/	M4A_ACCEPTED_ANCHOR	PAGE001	https://www.ai007.io	NONE_OBSERVED	https://www.ai007.io/	https://www.ai007.io/	INSPECTED	2026-09-18T04:51:37.160Z	THEME_SCOPED_PUBLIC_TAXONOMY	M4A accepted ranking URL	PUBLIC_PAGE_READER_WITH_BROWSER_FALLBACK	Public page captured	false	authority queries S03; ranks S03:1
M4B1U0002	REG002	Aimarketcap	RELEVANT_ONE_OFF_PRODUCT_VENDOR	PAGE002	true	https://aimarketcap.ru/guides/nejroseti-dlya-marketplejsov/	M4A_ACCEPTED_ANCHOR	PAGE002	https://aimarketcap.ru/guides/nejroseti-dlya-marketplejsov	NONE_OBSERVED	https://aimarketcap.ru/guides/nejroseti-dlya-marketplejsov/	https://aimarketcap.ru/guides/nejroseti-dlya-marketplejsov/	INSPECTED	2026-09-18T04:51:31.719Z	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	M4A accepted ranking URL	PUBLIC_PAGE_READER_WITH_BROWSER_FALLBACK	Public page captured	false	authority queries R12; ranks R12:3
M4B1U0003	REG003	Ainsider	RELEVANT_ONE_OFF_PRODUCT_VENDOR	PAGE003	true	https://ainsider.ru/blog/ii-v-prodazhah/ii-agent-dlya-ozon-kak-avtomatizirovat-prodazhi-na-marketpleyse	M4A_ACCEPTED_ANCHOR	PAGE003	https://ainsider.ru/blog/ii-v-prodazhah/ii-agent-dlya-ozon-kak-avtomatizirovat-prodazhi-na-marketpleyse	NONE_OBSERVED	https://ainsider.ru/blog/ii-v-prodazhah/ii-agent-dlya-ozon-kak-avtomatizirovat-prodazhi-na-marketpleyse	https://ainsider.ru/blog/ii-v-prodazhah/ii-agent-dlya-ozon-kak-avtomatizirovat-prodazhi-na-marketpleyse	INSPECTED	2026-09-18T04:58:30.712Z	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	M4A accepted ranking URL	PUBLIC_PAGE_READER_WITH_BROWSER_FALLBACK	Public page captured	false	authority queries S02; ranks S02:5
M4B1U0004	REG004	Albato	RELEVANT_ONE_OFF_PRODUCT_VENDOR	PAGE004	true	https://albato.ru/integration-openai-ozon	M4A_ACCEPTED_ANCHOR	PAGE004	https://albato.ru/integration-openai-ozon	NONE_OBSERVED	https://albato.ru/integration-openai-ozon	https://albato.ru/integration-openai-ozon	INSPECTED	2026-09-18T04:58:29.068Z	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	M4A accepted ranking URL	PUBLIC_PAGE_READER_WITH_BROWSER_FALLBACK	Public page captured	false	authority queries R02; ranks R02:7
M4B1U0005	REG006	Apimonster	OTHER_RELEVANT_CONTEXT	PAGE006	true	https://apimonster.ru/connector/bundle/callparser/ozon/	M4A_ACCEPTED_ANCHOR	PAGE006	https://apimonster.ru/connector/bundle/callparser/ozon	NONE_OBSERVED	https://apimonster.ru/connector/bundle/callparser/ozon/	NOT_OBSERVED_IN_CAPTURE	INSPECTED	2026-09-18T04:51:12.171Z	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	M4A accepted ranking URL	PUBLIC_PAGE_READER_WITH_BROWSER_FALLBACK	Public page captured	false	authority queries R02; ranks R02:8
M4B1U0006	REG006	Apimonster	OTHER_RELEVANT_CONTEXT	PAGE007	true	https://apimonster.ru/connector/bundle/openai/ozon/	M4A_ACCEPTED_ANCHOR	PAGE007	https://apimonster.ru/connector/bundle/openai/ozon	NONE_OBSERVED	https://apimonster.ru/connector/bundle/openai/ozon/	https://apimonster.ru/connector/bundle/openai/ozon/	INSPECTED	2026-09-18T04:51:54.112Z	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	M4A accepted ranking URL	PUBLIC_PAGE_READER_WITH_BROWSER_FALLBACK	Public page captured	false	authority queries R02; ranks R02:3
M4B1U0007	REG006	Apimonster	OTHER_RELEVANT_CONTEXT	PAGE008	true	https://apimonster.ru/connector/bundle/openai/wildberries/	M4A_ACCEPTED_ANCHOR	PAGE008	https://apimonster.ru/connector/bundle/openai/wildberries	NONE_OBSERVED	https://apimonster.ru/connector/bundle/openai/wildberries/	https://apimonster.ru/connector/bundle/openai/wildberries/	INSPECTED	2026-09-18T04:51:58.167Z	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	M4A accepted ranking URL	PUBLIC_PAGE_READER_WITH_BROWSER_FALLBACK	Public page captured	false	authority queries R03; ranks R03:3
M4B1U0008	REG007	Ascn	RELEVANT_ONE_OFF_PRODUCT_VENDOR	PAGE009	true	https://ascn.ai/ru/blog-no-code/ii-agenty-dlya-marketpleysov	M4A_ACCEPTED_ANCHOR	PAGE009	https://ascn.ai/ru/blog-no-code/ii-agenty-dlya-marketpleysov	NONE_OBSERVED	https://ascn.ai/ru/blog-no-code/ii-agenty-dlya-marketpleysov	https://ascn.ai/ru/blog-no-code/ii-agenty-dlya-marketpleysov	INSPECTED	2026-09-18T04:58:24.751Z	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	M4A accepted ranking URL	PUBLIC_PAGE_READER_WITH_BROWSER_FALLBACK	Public page captured	false	authority queries S01; ranks S01:8
M4B1U0009	REG008	Asibiont	SERVICE_OR_AGENCY	PAGE010	true	https://asibiont.com/blog/ozon-integration-with-ai-agent-automate-your-seller-operations-without-a-single-line-of-code	M4A_ACCEPTED_ANCHOR	PAGE010	https://asibiont.com/blog/ozon-integration-with-ai-agent-automate-your-seller-operations-without-a-single-line-of-code	NONE_OBSERVED	https://asibiont.com/blog/ozon-integration-with-ai-agent-automate-your-seller-operations-without-a-single-line-of-code	https://asibiont.com/blog/ozon-integration-with-ai-agent-automate-your-seller-operations-without-a-single-line-of-code	INSPECTED	2026-09-18T04:55:26.547Z	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	M4A accepted ranking URL	BROWSER_FALLBACK	Recovered through browser fallback after public-reader failure	false	authority queries S02; ranks S02:10
M4B1U0010	REG009	Berkuz	RECURRING_PRODUCT_VENDOR	PAGE011	true	https://berkuz.ru/	M4A_ACCEPTED_ANCHOR	PAGE011	https://berkuz.ru	NONE_OBSERVED	https://berkuz.ru/	https://berkuz.ru/	INSPECTED	2026-09-18T04:55:23.399Z	THEME_SCOPED_PUBLIC_TAXONOMY	M4A accepted ranking URL	BROWSER_FALLBACK	Recovered through browser fallback after public-reader failure	false	authority queries S01 | S02 | S03; ranks S01:1 | S02:3 | S03:4
