registry_id	entity_name	original_r1_url_count	initial_navigation_delta_count	recursive_r2_discovered_count	duplicate_existing_count	current_discovered_unique_urls	inspected_r1	inspected_r2	out_of_scope_count	non_html_count	auth_required_count	not_found_count	facet_or_sort_variant_count	redirect_in_scope_count	redirect_out_of_scope_count	execution_environment_failure_count	current_terminal_unique_urls	open_unresolved_unique_urls	link_enumeration_residual_pages	count_equation_pass	recursive_frontier_closed	reconciliation_state	unresolved_reason
REG001	Ai007	24	0	0	1	24	23	0	1	0	0	0	0	0	0	0	24	0	0	true	true	CLOSED	none
REG002	Aimarketcap	4	0	0	0	4	1	0	3	0	0	0	0	0	0	0	4	0	0	true	true	CLOSED	none
REG003	Ainsider	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	true	true	CLOSED	none
REG004	Albato	53	0	34	1	87	22	0	62	1	2	0	0	0	0	0	87	0	0	true	true	CLOSED	none
REG006	Apimonster	28	0	0	1	28	27	0	1	0	0	0	0	0	0	0	28	0	1	true	false	RECOVERY_REQUIRED	1 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG007	Ascn	5	0	0	0	5	4	0	1	0	0	0	0	0	0	0	5	0	0	true	true	CLOSED	none
REG008	Asibiont	3	0	0	0	3	1	0	2	0	0	0	0	0	0	0	3	0	0	true	true	CLOSED	none
REG009	Berkuz	6	0	50	3	56	3	45	6	0	2	0	0	0	0	0	56	0	0	true	true	CLOSED	none
REG011	Ilai	1	11	2	0	14	1	7	4	0	2	0	0	0	0	0	14	0	3	true	false	RECOVERY_REQUIRED	3 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG012	Infosell	1	26	2	0	29	1	26	0	1	1	0	0	0	0	0	29	0	21	true	false	RECOVERY_REQUIRED	21 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG013	Insales	11	0	0	0	11	11	0	0	0	0	0	0	0	0	0	11	0	0	true	true	CLOSED	none
REG014	Itgalaxy	5	0	0	0	5	4	0	0	1	0	0	0	0	0	0	5	0	0	true	true	CLOSED	none
REG015	Jafo	5	0	0	0	5	5	0	0	0	0	0	0	0	0	0	5	0	0	true	true	CLOSED	none
REG016	Jvo	2	26	1	0	29	2	19	7	0	1	0	0	0	0	0	29	0	17	true	false	RECOVERY_REQUIRED	17 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG018	Kt Team	1	77	44	0	122	1	29	92	0	0	0	0	0	0	0	122	0	27	true	false	RECOVERY_REQUIRED	27 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG019	Legasoft	2	45	1	0	48	2	3	40	0	1	0	2	1	0	0	48	0	1	true	false	RECOVERY_REQUIRED	1 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG020	Limescope	1	12	0	0	13	1	10	2	0	0	0	0	0	0	0	13	0	10	true	false	RECOVERY_REQUIRED	10 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG021	Marketaut	1	7	0	0	8	1	3	2	0	2	0	0	1	0	0	8	0	2	true	false	RECOVERY_REQUIRED	2 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG022	Marpla	4	10	16	1	30	4	12	10	0	4	0	0	0	0	0	30	0	12	true	false	RECOVERY_REQUIRED	12 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG023	Mayak	34	0	5	7	39	31	1	3	0	3	1	0	0	0	0	39	0	1	true	false	RECOVERY_REQUIRED	1 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG024	Moysklad	4	107	2	1	113	4	18	67	20	1	0	3	0	0	0	113	0	17	true	false	RECOVERY_REQUIRED	17 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG025	Mpboost	1	10	0	0	11	1	1	0	8	1	0	0	0	0	0	11	0	1	true	false	RECOVERY_REQUIRED	1 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG026	Mpfact	1	13	5	0	19	1	10	6	0	2	0	0	1	0	0	19	0	4	true	false	RECOVERY_REQUIRED	4 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG027	Mpmgr	5	55	5	0	65	5	52	6	0	2	0	0	0	0	0	65	0	50	true	false	RECOVERY_REQUIRED	50 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG028	Mpstats	11	29	2	3	42	11	17	14	0	0	0	0	0	0	0	42	0	15	true	false	RECOVERY_REQUIRED	15 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG029	Openclaw	8	0	0	0	8	4	0	4	0	0	0	0	0	0	0	8	0	0	true	true	CLOSED	none
REG031	Promopult	2	163	20	0	185	2	18	77	78	0	0	10	0	0	0	185	0	16	true	false	RECOVERY_REQUIRED	16 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG034	Saintpack	1	18	1	0	20	1	11	5	3	0	0	0	0	0	0	20	0	10	true	false	RECOVERY_REQUIRED	10 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG035	Sam X	2	0	11	1	13	2	0	9	0	2	0	0	0	0	0	13	0	0	true	true	CLOSED	none
REG037	Sellerden	51	0	70	13	121	51	36	0	14	20	0	0	0	0	0	121	0	9	true	false	RECOVERY_REQUIRED	9 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG038	Sellermoon	9	33	34	4	76	9	62	3	0	2	0	0	0	0	0	76	0	61	true	false	RECOVERY_REQUIRED	61 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG039	Sellerstats	1	17	0	0	18	1	10	4	0	3	0	0	0	0	0	18	0	10	true	false	RECOVERY_REQUIRED	10 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG040	Sellmonitor	2	26	1	0	29	2	14	5	3	5	0	0	0	0	0	29	0	12	true	false	RECOVERY_REQUIRED	12 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG041	Sellper	1	24	1	0	26	1	19	4	0	2	0	0	0	0	0	26	0	12	true	false	RECOVERY_REQUIRED	12 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG042	Selsup	5	40	2	0	47	5	28	11	0	3	0	0	0	0	0	47	0	27	true	false	RECOVERY_REQUIRED	27 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG044	Softrest	19	0	0	0	19	1	0	17	1	0	0	0	0	0	0	19	0	0	true	true	CLOSED	none
REG045	Superintellect	15	0	68	4	83	7	0	76	0	0	0	0	0	0	0	83	0	0	true	true	CLOSED	none
REG046	Tablichki	15	0	4	4	19	13	0	4	0	2	0	0	0	0	0	19	0	0	true	true	CLOSED	none
REG049	Torgstat	3	0	0	0	3	3	0	0	0	0	0	0	0	0	0	3	0	0	true	true	CLOSED	none
REG050	Tulpari	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	true	true	CLOSED	none
REG051	Uniseller	2	62	4	0	68	2	56	10	0	0	0	0	0	0	0	68	0	55	true	false	RECOVERY_REQUIRED	55 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG053	Wbcon	13	0	20	1	33	13	17	3	0	0	0	0	1	0	0	33	0	10	true	false	RECOVERY_REQUIRED	10 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG056	Wildcrm	2	14	0	0	16	2	9	2	0	3	0	0	0	0	0	16	0	9	true	false	RECOVERY_REQUIRED	9 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG058	Yoolip	1	10	0	0	11	1	3	5	0	2	0	0	0	0	0	11	0	3	true	false	RECOVERY_REQUIRED	3 exact inspected frontier-owner page(s) require child-link enumeration recovery
REG060	Zinaida	4	0	0	0	4	2	0	0	2	0	0	0	0	0	0	4	0	0	true	true	CLOSED	none
