page_id	recovery_url_id	source_layer	url_id	registry_id	entity_name	candidate_class	final_url	captured_at	page_role	title	meta_description	h1	heading_structure_summary	breadcrumb_summary	marketplace_scope	ai_llm_scope	user_jobs	data_scope	capability_claims	action_boundary_claims	integrations	pricing_availability	cta	proof_trust_cases	faq_subtopics	author_freshness	internal_link_pattern	structured_data_observed	evidence_locator	claim_confidence	octoport_overlap	octoport_difference	notes
M4B1R2P00001	M4B1R2U00001	R2_NAVIGATION_DELTA		REG011	Ilai	RECURRING_PRODUCT_VENDOR	https://ilai.io/alternativa-servisam-analitiki-wildberries	2026-09-18T10:07:28.974Z	PUBLIC_ENTITY_PAGE	Альтернатива классическим сервисам аналитики Wildberries	NOT_OBSERVED_IN_CAPTURE	Альтернатива сервисам аналитики Wildberries	H1 Альтернатива сервисам аналитики Wildberries | H2/H3 Почему продавцы ищут альтернативу классическим сервисам аналитики | H2/H3 AI в рабочем процессе | H2/H3 AI и автоматизация Wildberries для продавцов | H2/H3 ИИ-агенты для маркетплейсов | H2/H3 Подключаем AI-инструменты | H2/H3 Возможности платформы | H2/H3 Кому подойдёт ILAI как сервис для продавцов Wildberries | H2/H3 Тем, кому нужна автоматизация Wildberries | H2/H3 Как выбрать сервис аналитики Wildberries | H2/H3 Почему одной аналитики продаж уже недостаточно | H2/H3 Чем ILAI отличается от классической аналитики | H2/H3 Какие функции важны в сервисе аналитики WB | H2/H3 Когда достаточно классического сервиса аналитики	NOT_OBSERVED_IN_CAPTURE	WILDBERRIES	AI_AGENT_OR_ASSISTANT	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE | SEARCH_TERMS	COMPETITOR_CLAIM: SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	COMPETITOR_CLAIM: WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | AI_AGENT_OR_ASSISTANT	PUBLIC_PRICE_OR_TRIAL_MENTION	TRY | CONNECT | DOWNLOAD	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM	FAQ_OBSERVED	NOT_OBSERVED_IN_CAPTURE	SAME_ENTITY_LINKS_ENUMERATED=0	NOT_OBSERVED_IN_CAPTURE	https://ilai.io/alternativa-servisam-analitiki-wildberries ; PUBLIC_WEB_EXACT_URL_OPEN ; captured 2026-09-18T10:07:28.974Z	HIGH	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor write-back/automation claim beyond Octoport read/analysis launch boundary	DELTA; claims remain COMPETITOR_CLAIM; page terminal
M4B1R2P00002	M4B1R2U00002	R2_NAVIGATION_DELTA		REG011	Ilai	RECURRING_PRODUCT_VENDOR	https://ilai.io/analitika-wildberries	2026-09-18T10:07:28.974Z	PUBLIC_ENTITY_PAGE	Аналитика Wildberries — сервис для продавцов WB с AI | ILAI	NOT_OBSERVED_IN_CAPTURE	Аналитика Wildberries с AI-помощником	H1 Аналитика Wildberries с AI-помощником | H2/H3 Почему продавцы WB теряют деньги | H2/H3 Аналитика WB: продажи, реклама, SEO и финансы	NOT_OBSERVED_IN_CAPTURE	WILDBERRIES	AI_AGENT_OR_ASSISTANT	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	SALES | ADS | FINANCE | SEARCH_TERMS	COMPETITOR_CLAIM: SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	COMPETITOR_CLAIM: READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | AI_AGENT_OR_ASSISTANT	PUBLIC_PRICE_OR_TRIAL_MENTION	TRY	API_OR_PARTNER_CLAIM	FAQ_OBSERVED	NOT_OBSERVED_IN_CAPTURE	LINK_TREE_ENUMERATION_RESIDUAL	NOT_OBSERVED_IN_CAPTURE	https://ilai.io/analitika-wildberries ; PUBLIC_WEB_EXACT_URL_OPEN ; captured 2026-09-18T10:07:28.974Z	HIGH	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor positioning is not an Octoport product fact or demand proof	DELTA; claims remain COMPETITOR_CLAIM; child link enumeration recovery required
M4B1R2P00003	M4B1R2U00004	R2_NAVIGATION_DELTA		REG011	Ilai	RECURRING_PRODUCT_VENDOR	https://ilai.io/reklama-wildberries	2026-09-18T10:07:28.974Z	PUBLIC_ENTITY_PAGE	Реклама Wildberries — управление рекламой и аналитика с AI | ILAI	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	WILDBERRIES	AI_AGENT_OR_ASSISTANT	SELLER_ANALYTICS | AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER	ADS	COMPETITOR_CLAIM: SELLER_ANALYTICS | AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER	COMPETITOR_CLAIM: READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | AI_AGENT_OR_ASSISTANT	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	LINK_TREE_ENUMERATION_RESIDUAL	NOT_OBSERVED_IN_CAPTURE	https://ilai.io/reklama-wildberries ; PUBLIC_WEB_EXACT_URL_OPEN ; captured 2026-09-18T10:07:28.974Z	MEDIUM	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor positioning is not an Octoport product fact or demand proof	DELTA; claims remain COMPETITOR_CLAIM; child link enumeration recovery required
M4B1R2P00004	M4B1R2U00006	R2_NAVIGATION_DELTA		REG011	Ilai	RECURRING_PRODUCT_VENDOR	https://ilai.io/seo-wildberries	2026-09-18T10:07:28.974Z	PUBLIC_ENTITY_PAGE	SEO карточек Wildberries — оптимизация товаров с AI | ILAI	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	WILDBERRIES	AI_AGENT_OR_ASSISTANT	PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | AI_OR_DIGITAL_HELPER	SEARCH_TERMS	COMPETITOR_CLAIM: PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | AI_OR_DIGITAL_HELPER	COMPETITOR_CLAIM: READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | AI_AGENT_OR_ASSISTANT	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	SAME_ENTITY_LINKS_ENUMERATED=0	NOT_OBSERVED_IN_CAPTURE	https://ilai.io/seo-wildberries ; PUBLIC_WEB_EXACT_URL_OPEN ; captured 2026-09-18T10:07:28.974Z	MEDIUM	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor positioning is not an Octoport product fact or demand proof	DELTA; claims remain COMPETITOR_CLAIM; page terminal
M4B1R2P00005	M4B1R2U00007	R2_NAVIGATION_DELTA		REG011	Ilai	RECURRING_PRODUCT_VENDOR	https://ilai.io/servisy-analitiki-wildberries	2026-09-18T10:07:28.974Z	PUBLIC_ENTITY_PAGE	Лучшие сервисы аналитики Wildberries 2026 — сравнение платформ для продавцов WB | ILAI	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	WILDBERRIES	NOT_OBSERVED_IN_CAPTURE	SELLER_ANALYTICS	NOT_OBSERVED_IN_CAPTURE	COMPETITOR_CLAIM: SELLER_ANALYTICS	COMPETITOR_CLAIM: READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	LINK_TREE_ENUMERATION_RESIDUAL	NOT_OBSERVED_IN_CAPTURE	https://ilai.io/servisy-analitiki-wildberries ; PUBLIC_WEB_EXACT_URL_OPEN ; captured 2026-09-18T10:07:28.974Z	MEDIUM	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor positioning is not an Octoport product fact or demand proof	DELTA; claims remain COMPETITOR_CLAIM; child link enumeration recovery required
M4B1R2P00006	M4B1R2U00012	R2_NAVIGATION_DELTA		REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	https://infosell.tech/dashboard	2026-09-18T10:07:28.974Z	PUBLIC_ENTITY_PAGE	InfoSell — ИИ-сервисы для продавцов маркетплейсов	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	GENERIC_MARKETPLACE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	COMPETITOR_CLAIM: NOT_OBSERVED_IN_CAPTURE	COMPETITOR_CLAIM: READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	GENERIC_MARKETPLACE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	SAME_ENTITY_LINKS_ENUMERATED=0	NOT_OBSERVED_IN_CAPTURE	https://infosell.tech/dashboard ; PUBLIC_WEB_EXACT_URL_OPEN ; captured 2026-09-18T10:07:28.974Z	MEDIUM	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor positioning is not an Octoport product fact or demand proof	DELTA; claims remain COMPETITOR_CLAIM; page terminal
M4B1R2P00007	M4B1R2U00013	R2_NAVIGATION_DELTA		REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	https://infosell.tech/dashboard/assistant	2026-09-18T10:07:28.974Z	PUBLIC_ENTITY_PAGE	InfoSell — ИИ-сервисы для продавцов маркетплейсов	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	GENERIC_MARKETPLACE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	COMPETITOR_CLAIM: NOT_OBSERVED_IN_CAPTURE	COMPETITOR_CLAIM: READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	GENERIC_MARKETPLACE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	LINK_TREE_ENUMERATION_RESIDUAL	NOT_OBSERVED_IN_CAPTURE	https://infosell.tech/dashboard/assistant ; PUBLIC_WEB_EXACT_URL_OPEN ; captured 2026-09-18T10:07:28.974Z	MEDIUM	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor positioning is not an Octoport product fact or demand proof	DELTA; claims remain COMPETITOR_CLAIM; child link enumeration recovery required
M4B1R2P00008	M4B1R2U00014	R2_NAVIGATION_DELTA		REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	https://infosell.tech/dashboard/balance	2026-09-18T10:07:28.974Z	PUBLIC_ENTITY_PAGE	InfoSell — ИИ-сервисы для продавцов маркетплейсов	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	GENERIC_MARKETPLACE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	COMPETITOR_CLAIM: NOT_OBSERVED_IN_CAPTURE	COMPETITOR_CLAIM: READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	GENERIC_MARKETPLACE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	LINK_TREE_ENUMERATION_RESIDUAL	NOT_OBSERVED_IN_CAPTURE	https://infosell.tech/dashboard/balance ; PUBLIC_WEB_EXACT_URL_OPEN ; captured 2026-09-18T10:07:28.974Z	MEDIUM	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor positioning is not an Octoport product fact or demand proof	DELTA; claims remain COMPETITOR_CLAIM; child link enumeration recovery required
M4B1R2P00009	M4B1R2U00015	R2_NAVIGATION_DELTA		REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	https://infosell.tech/dashboard/finassistant	2026-09-18T10:07:28.974Z	PUBLIC_ENTITY_PAGE	InfoSell — ИИ-инфографика для маркетплейсов	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	GENERIC_MARKETPLACE	NOT_OBSERVED_IN_CAPTURE	PRODUCT_CARD_OR_CONTENT	NOT_OBSERVED_IN_CAPTURE	COMPETITOR_CLAIM: PRODUCT_CARD_OR_CONTENT	COMPETITOR_CLAIM: READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	GENERIC_MARKETPLACE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	LINK_TREE_ENUMERATION_RESIDUAL	NOT_OBSERVED_IN_CAPTURE	https://infosell.tech/dashboard/finassistant ; PUBLIC_WEB_EXACT_URL_OPEN ; captured 2026-09-18T10:07:28.974Z	MEDIUM	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor positioning is not an Octoport product fact or demand proof	DELTA; claims remain COMPETITOR_CLAIM; child link enumeration recovery required
M4B1R2P00010	M4B1R2U00016	R2_NAVIGATION_DELTA		REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	https://infosell.tech/dashboard/generate/analyze-infographic	2026-09-18T10:07:28.974Z	PUBLIC_ENTITY_PAGE	InfoSell — ИИ-сервисы для продавцов маркетплейсов	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	GENERIC_MARKETPLACE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	COMPETITOR_CLAIM: NOT_OBSERVED_IN_CAPTURE	COMPETITOR_CLAIM: READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	GENERIC_MARKETPLACE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE	LINK_TREE_ENUMERATION_RESIDUAL	NOT_OBSERVED_IN_CAPTURE	https://infosell.tech/dashboard/generate/analyze-infographic ; PUBLIC_WEB_EXACT_URL_OPEN ; captured 2026-09-18T10:07:28.974Z	MEDIUM	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor positioning is not an Octoport product fact or demand proof	DELTA; claims remain COMPETITOR_CLAIM; child link enumeration recovery required
